ID;Nom centrale;Sous-traitant;Type;Puissance (kWc);Département;Localisation;Adresse complète;ID Référent;SPV;Latitude;Longitude;Type centrale;Installateur;Date MES;SI;Panneaux;Contact Exploitation;Tel Exploitation;Contact Gestion;Tel Gestion;Audit toiture;Audit hors toiture;Ratio PR;Date prév audit;Mission ID;Statut mission;Date mission;Technicien
1;Antunez - SCI ANAUJA;DIAGPV - Adrien & Fabien;SOL;269.45;34;253 Bd Robert Koch, 34500 Béziers, France;253 Bd Robert Koch, 34500 Béziers, France;31971;F2 DAVAI ENRSPV8;43.3654;3.2529;Ombrière simple;LE TRIANGLE;28/03/2025;Triangle IAB;DMEGC-DM425M10T-B54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;100%;semaine 50;1;TERMINE;2025-12-01;Adrien PAPPALARDO
9;Burgat Et Fils Tp;DIAGPV - Adrien & Fabien;SOL;113.03;11;La Plaine 11300 Cournanel;La Plaine 11300 Cournanel;28173;F2 DAVAI ENRSPV6;43.04294;2.23988;Toiture existante / Rénovation;SOLARTIS;20/11/2024;DOMESOLAR Ital Solar;DMEGC-DM445M10RT-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;85%;semaine 48;9;TERMINE;2025-12-01;Adrien PAPPALARDO
46;Commune De Pomas;DIAGPV - Adrien & Fabien;SOL;254.8;11;Rue de la Mairie, 11250 Pomas, France;Rue de la Mairie, 11250 Pomas, France;97565;F3 DAVAI ENRSPV14;43.11473;2.2963;Bâtiment à construire - C;KEVEL;21/08/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-B54HSW;Parfait MEZEME ONA;06 63 06 94 73;Victor PONTAIS;06 69 21 76 42;;X;96%;semaine 48;46;TERMINE;2025-12-01;Adrien PAPPALARDO
44;EARL GOUNY;DIAGPV - Adrien & Fabien;SOL;331.24;47;Gouny, 47350 Escassefort, France;Gouny, 47350 Escassefort, France;3391;F3 GIRASPV15;44.56123;0.24227;Bâtiment à construire - C;HBBAT;11/08/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;104%;semaine 49;44;TERMINE;2025-12-01;Adrien PAPPALARDO
47;GFA LASCOMBES - ANTOINE MICOULEAU;DIAGPV - Adrien & Fabien;SOL;277.095;11;Lascombes, 11170 Alzonne, France;Lascombes, 11170 Alzonne, France;95592;F3 DAVAI ENRSPV14;43.26257;2.15214;Bâtiment à construire - A1;Yama Energies;19/08/2025;DOME SOLAR Helios B²;DMEGC-DM455M10RT-B54HSW;Parfait MEZEME ONA;06 63 06 94 73;Victor PONTAIS;06 69 21 76 42;X;X;147%;semaine 48;47;PLANIFIE;2025-12-01;Adrien PAPPALARDO
12;HANGAR Christian MIGNARD;DIAGPV - Adrien & Fabien;SOL;97.11;11;Chemin de Rieux 11700 Pépieux;Chemin de Rieux 11700 Pépieux;22147;F2 DAVAI ENRSPV9;43.297058;2.665955;Bâtiment à construire - B;Solartis;16/12/2024;DOMESOLAR NPA 3.45;DMEGC-DM415M10-54HSW-V;Parfait MEZEME ONA;06 63 06 94 73;Victor PONTAIS;06 69 21 76 42;X;X;100%;semaine 48;12;TERMINE;2025-12-01;Adrien PAPPALARDO
24;Hangar Christophe CARRERE n°2;DIAGPV - Adrien & Fabien;SOL;278.005;47;Boy, 47600 Montagnac-sur-Auvignon, France;Boy, 47600 Montagnac-sur-Auvignon, France;33559;F2 DAVAI ENRSPV7;44.14804;0.44966;Bâtiment à construire - A1;Acrom;16/05/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-B54HSW;Parfait MEZEME ONA;06 63 06 94 73;Victor PONTAIS;06 69 21 76 42;;X;122%;semaine 49;24;TERMINE;2025-12-01;Adrien PAPPALARDO
25;Hangar Frédéric CASTET;DIAGPV - Adrien & Fabien;SOL;268.65;31;11 carrère de la Gentille, ESTADENS, 31160;11 carrère de la Gentille, ESTADENS, 31160;95919;F3 DAVAI ENRSPV13;43.043896;0.859961;Toiture existante / Rénovation;NEOXOM;26/05/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-54HSW-HBW;Yasser BADREZZAMANE;06 74 09 71 44;Jean-Paul THOROGOOD;06 74 94 09 90;X;X;95%;semaine 49;25;PLANIFIE;2025-12-01;Adrien PAPPALARDO
35;Hangar Frédéric CASTET (2);DIAGPV - Adrien & Fabien;SOL;268.65;;11 carrère de la Gentille, ESTADENS, 31160;;;;;;;;;;;;;;;;;;;35;PLANIFIE;2025-12-01;Adrien PAPPALARDO
45;Hangar Maxime Bayle;DIAGPV - Adrien & Fabien;SOL;324.87;11;Château Lagoual, 11400 Lasbordes, France;Château Lagoual, 11400 Lasbordes, France;3085;F3 GIRASPV15;43.30401;2.07536;Bâtiment à construire - A1;Yama Energies;29/08/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-B54HSW;Yasser BADREZZAMANE;06 74 09 71 44;Jean-Paul THOROGOOD;06 74 94 09 90;;X;95%;semaine 48;45;TERMINE;2025-12-01;Adrien PAPPALARDO
